title,author,year,genre,audience,pages,goodreads_rating,tags
Berserk,"Miura, Kentarou",1989.0,Fantasy,adult,,4.74,action adult adventure brutal brutal-combat brutal-medieval dark dark-epic-fantasy dark-fantasy divine drama epic-fantasy fantasy gore griffith guts horror lone-warrior manga medieval mercenary military mind mythology psychological supernatural sword-master war warrior-journey warrior-protagonist
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Araki, Hirohiko",2004.0,Mystery,young_adult,,4.65,action adult adventure manga mystery supernatural young_adult
Vagabond,"Inoue, Takehiko",1998.0,Historical,adult,,4.62,action adult adventure brutal-medieval dark-epic-fantasy duels historical historical-japan lone-warrior manga miyamoto-musashi ninja philosophical-journey samurai sword-master warrior-journey
One Piece,"Oda, Eiichiro",1997.0,Adventure,young_adult,,4.61,action adventure adventure-crew devil-fruit fantasy grand-line luffy manga pirates world-building young_adult
Monster,"Urasawa, Naoki",1994.0,Mystery,adult,,4.58,adult adult-cast drama germany johan-liebert manga mind mystery psychological psychological-thriller serial-killer tenma
Slam Dunk,"Inoue, Takehiko",1990.0,Sports,young_adult,,4.54,coming-of-age manga school sports teamwork young_adult
Maus,Art Spiegelman,1991.0,Memoir,adult,296.0,4.53,memoir historical holocaust war dark family trauma political art-spiegelman mice-metaphor
Vinland Saga,"Yukimura, Makoto",2005.0,Historical,adult,,4.53,action adult adventure brutal-medieval dark-epic-fantasy dark-fantasy drama family historical lone-warrior manga medieval-europe revenge sci-fi thorfinn viking warrior-journey
March Vol. 2,John Lewis,2015.0,Historical,adult,192.0,4.52,historical political civil-rights selma march activism memoir
Nausicaa of the Valley of the Wind,Hayao Miyazaki,1982.0,Science Fiction,young_adult,1060.0,4.52,sci-fi ecology war hope female-hero epic manga beautiful hayao-miyazaki
Fullmetal Alchemist,"Arakawa, Hiromu",2001.0,Fantasy,young_adult,,4.51,action adventure alchemy brotherhood drama edward-elric equivalent-exchange fantasy manga philosopher-stone sacrifice young_adult
Grand Blue (Grand Blue Dreaming),"Inoue, Kenji",2014.0,Manga,adult,,4.51,adult manga
Oyasumi Punpun (Goodnight Punpun),"Asano, Inio",2007.0,Slice of Life,adult,,4.5,adult coming-of-age dark-romance depression drama manga self-discovery slice-of-life
Kingdom,"Hara, Yasuhisa",2006.0,Historical,adult,,4.5,action adult historical manga military war
Houseki no Kuni (Land of the Lustrous),"Ichikawa, Haruko",2012.0,Fantasy,adult,,4.48,action adult drama fantasy manga
Ashita no Joe,"Kajiwara, Ikki",1968.0,Slice of Life,young_adult,,4.47,drama manga slice-of-life sports young_adult
20th Century Boys,"Urasawa, Naoki",1999.0,Mystery,adult,,4.47,adult conspiracy drama epic-mystery friend historical kenji manga mind mystery psychological robot sci-fi
Real,"Inoue, Takehiko",1999.0,Sports,adult,,4.47,adult drama manga mind psychological sports teamwork
Monogatari Series: First Season,"NISIO, ISIN",2006.0,Mystery,adult,,4.46,action comedy manga mystery romance supernatural
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),"Akasaka, Aka",2015.0,Comedy,adult,,4.46,adult comedy coming-of-age manga romantic-subtext school
Yotsuba to! (Yotsuba&!),"Azuma, Kiyohiko",2003.0,Slice of Life,adult,,4.45,comedy curiosity daily-life family heartwarming innocent-child manga peaceful slice-of-life
Mikkakan no Koufuku (Three Days of Happiness),"Miaki, Sugaru",2013.0,Manga,adult,,4.45,manga
Monogatari Series: Second Season,"NISIO, ISIN",2010.0,Mystery,adult,,4.45,comedy drama manga mystery supernatural
3-gatsu no Lion (March Comes in Like a Lion),"Umino, Chica",2007.0,Slice of Life,adult,,4.44,adult drama family gaming manga peaceful slice-of-life strategy
GTO (GTO: Great Teacher Onizuka),"Fujisawa, Tooru",1996.0,Action,young_adult,,4.44,action comedy coming-of-age crime dark drama ecchi manga school workplace young_adult youth
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),"Tomose, Shunsaku",2015.0,Manga,adult,,4.43,coming-of-age manga mind psychological school
Watchmen,Alan Moore,1987.0,Political,adult,334.0,4.43,superhero political dark deconstruction cold-war rorschach nite-owl comedian alan-moore
Koe no Katachi (A Silent Voice),"Ooima, Yoshitoki",2013.0,Drama,young_adult,,4.43,bullying deaf drama forgiveness manga redemption school young_adult
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch (Umineko When They Cry Episode 8: Twilight of the Golden Witch),"Natsumi, Kei",2012.0,Mystery,young_adult,,4.42,drama fantasy manga mystery supernatural young_adult
Haikyuu!! (Haikyu!!),"Furudate, Haruichi",2012.0,Sports,young_adult,,4.42,coming-of-age manga school sports teamwork young_adult
Monogatari Series: Final Season,"NISIO, ISIN",2012.0,Mystery,adult,,4.42,comedy manga mystery supernatural
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen (Classroom of the Elite: Year 2),"Tomose, Shunsaku",2020.0,Manga,adult,,4.42,coming-of-age manga mind psychological school
Akatsuki no Yona (Yona of the Dawn),"Kusanagi, Mizuho",2009.0,Fantasy,young_adult,,4.41,action adventure fantasy manga romance young_adult
Ookami to Koushinryou (Spice & Wolf),"Hasekura, Isuna",2006.0,Historical,adult,,4.41,adult-cast adventure drama fantasy historical manga romance supernatural
Mushoku Tensei: Isekai Ittara Honki Dasu (Mushoku Tensei: Jobless Reincarnation),Rifujin na Magonote,2014.0,Manga,adult,,4.41,fantasy isekai manga parallel-world reincarnation
86 (86: Eighty-Six),Shirabi,2017.0,Science Fiction,adult,,4.41,action drama manga sci-fi
Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),"Miyazaki, Hayao",1982.0,Fantasy,adult,,4.41,action adventure fantasy manga supernatural
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)","Taguchi, Shouichi",2016.0,Manga,young_adult,,4.39,manga young_adult
All-Star Superman,Grant Morrison,2008.0,Superhero,adult,304.0,4.39,superhero epic heroism optimism death grant-morrison superman beautiful
Nana,"Yazawa, Ai",2000.0,Manga,young_adult,,4.39,adult-cast artistic drama friendship love-triangle manga music punk-band romance tokyo young_adult
Re:Zero kara Hajimeru Isekai Seikatsu (Re:ZERO -Starting Life in Another World-),"Nagatsuki, Tappei",2014.0,Mystery,adult,,4.39,drama fantasy isekai manga mind parallel-world psychological suspense temporal time-travel
Rat-Man Vol. 1,Leo Ortolani,1995.0,Comedy,adult,96.0,4.38,comedy superhero parody italian meta fun leo-ortolani
Made in Abyss,"Tsukushi, Akihito",2012.0,Science Fiction,adult,,4.38,adventure drama fantasy manga sci-fi
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),Mo Xiang Tong Xiu,2021.0,Action,adult,,4.38,action adventure lgbt manga supernatural
"Yahari Ore no Seishun Love Comedy wa Machigatteiru. (My Youth Romantic Comedy Is Wrong, As I Expected)","Watari, Wataru",2011.0,Romance,adult,,4.38,comedy coming-of-age drama manga romance school
Uchuu Kyoudai (Space Brothers),"Koyama, Chuuya",2007.0,Science Fiction,adult,,4.38,adult adult-cast cosmic drama manga sci-fi space workplace
Kokou no Hito (The Climber),"Sakamoto, Shinichi",2007.0,Sports,adult,,4.38,adult drama manga sports
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen (Ascendance of a Bookworm: I'll do Anything to Become a Librarian!),"Shiina, You",2015.0,Manga,adult,,4.38,fantasy isekai manga parallel-world reincarnation
Daredevil: Born Again,Frank Miller,1986.0,Superhero,adult,216.0,4.38,superhero dark crime redemption fall religion frank-miller street-level
Kraven's Last Hunt,J.M. DeMatteis,1987.0,Superhero,adult,192.0,4.37,superhero dark psychological burial obsession villain spider-man
Hajime no Ippo (Hajime no Ippo: Fighting Spirit!),"Morikawa, George",1989.0,Sports,young_adult,,4.37,manga sports young_adult
Chainsaw Man,"Fujimoto, Tatsuki",2018.0,Action,young_adult,,4.37,action chainsaw dark-comedy denji devil-hunter manga pochita supernatural young_adult
Kingdom Come,Mark Waid,1996.0,Political,adult,232.0,4.37,superhero political aging society painted beautiful mark-waid alex-ross
Hunter x Hunter,"Togashi, Yoshihiro",1998.0,Fantasy,young_adult,,4.37,action adventure chimera-ant fantasy gon hunter-exam killua manga nen strategy young_adult
One Punch-Man (One-Punch Man),"Murata, Yusuke",2012.0,Comedy,adult,,4.37,action adult comedy manga parody powers superhero
Mushishi,"Urushibara, Yuki",1999.0,Mystery,adult,,4.36,adult adult-cast atmospheric fantasy historical manga mushi mystery nature peaceful slice-of-life supernatural
Persepolis,Marjane Satrapi,2000.0,Memoir,adult,153.0,4.36,memoir political historical iran revolution coming-of-age womanhood marjane-satrapi
Shoujo Shuumatsu Ryokou (Girls' Last Tour),Tsukumizu,2014.0,Slice of Life,adult,,4.36,adventure manga slice-of-life
Sousou no Frieren (Frieren: Beyond Journey's End),"Yamada, Kanehito",2020.0,Fantasy,young_adult,,4.35,adventure drama fantasy manga young_adult
Immortal Hulk Vol. 1,Al Ewing,2018.0,Horror,adult,136.0,4.35,superhero horror dark gamma body-horror psychological al-ewing
The Sandman Vol. 1,Neil Gaiman,1989.0,Fantasy,adult,240.0,4.35,fantasy mythology dark literary dreams morpheus endless neil-gaiman beautiful
Preacher Vol. 1,Garth Ennis,1996.0,Horror,adult,264.0,4.35,horror dark religion violence road-trip supernatural garth-ennis adult
Utsuro no Hako to Zero no Maria (The Empty Box and Zeroth Maria),"Mikage, Eiji",2009.0,Horror,adult,,4.35,action coming-of-age drama horror manga mind mystery psychological romance school supernatural suspense
Beck (BECK: Mongolian Chop Squad),"Sakuishi, Harold",2000.0,Manga,young_adult,,4.34,drama manga romance young_adult
Kono Oto Tomare!,"Sakura, Amyuu",2012.0,Manga,young_adult,,4.34,art coming-of-age drama manga school young_adult
Yokohama Kaidashi Kikou,"Ashinano, Hitoshi",1994.0,Science Fiction,adult,,4.34,adult drama manga sci-fi slice-of-life
Kino no Tabi: The Beautiful World,"Sigsawa, Keiichi",2000.0,Mystery,adult,,4.34,adventure drama fantasy manga mystery sci-fi
"Sayonara Eri (Goodbye, Eri)","Fujimoto, Tatsuki",2022.0,Manga,young_adult,,4.34,manga young_adult
Dorohedoro,"Hayashida, Q",2000.0,Horror,adult,,4.34,action adult comedy fantasy horror manga
Akira,"Otomo, Katsuhiro",1982.0,Science Fiction,adult,,4.34,action adult cyberpunk-classic esper kaneda manga neo-tokyo sci-fi tetsuo
Death Note,"Obata, Takeshi",2003.0,Mystery,young_adult,,4.34,cat-mouse death-note genius-protagonist kira manga ryuk shinigami supernatural suspense young_adult
Shinyaku Toaru Majutsu no Index (A Certain Magical Index NT),"Kamachi, Kazuma",2011.0,Science Fiction,adult,,4.33,action comedy fantasy manga sci-fi supernatural
Koten-bu Series,"Yonezawa, Honobu",2001.0,Mystery,adult,,4.33,adventure manga mystery
Solo Leveling,Chugong,2018.0,Fantasy,adult,,4.33,action adventure fantasy manga
The Horizon,"Jeong, Ji-Hoon",2016.0,Drama,adult,,4.33,adventure drama manga
Natsume Yuujinchou (Natsume's Book of Friends),"Midorikawa, Yuki",2003.0,Drama,young_adult,,4.33,drama manga supernatural young_adult
 Series (Zaregoto),"NISIO, ISIN",2002.0,Mystery,adult,,4.33,action drama manga mystery supernatural
Bungou Stray Dogs: Beast (Bungo Stray Dogs: Beast),"Asagiri, Kafka",2019.0,Mystery,young_adult,,4.33,action manga mystery supernatural young_adult
Veil,"Fukuda, Ikumi",2019.0,Slice of Life,adult,,4.33,drama manga romance slice-of-life
Overlord,"Maruyama, Kugane",2012.0,Fantasy,adult,,4.33,action fantasy isekai manga parallel-world supernatural video-game
Bone Vol. 1,Jeff Smith,1991.0,Fantasy,young_adult,128.0,4.33,fantasy adventure comedy family quest heroism young jeff-smith
Kozure Ookami (Lone Wolf & Cub),"Koike, Kazuo",1970.0,Historical,adult,,4.33,adult historical historical-japan manga ninja samurai
Kimi no Suizou wo Tabetai (I Want to Eat Your Pancreas),"Sumino, Yoru",2015.0,Romance,adult,,4.33,drama manga romance
Yagate Kimi ni Naru (Bloom into You),"Nakatani, Nio",2015.0,Drama,adult,,4.33,drama lgbt manga
Old Man Logan,Mark Millar,2009.0,Superhero,adult,208.0,4.32,superhero dark future western aged dystopian wolverine mark-millar
Tintin: The Blue Lotus,Hergé,1936.0,Adventure,children,62.0,4.32,adventure mystery detective children classic historical tintin hergé
Saga of the Swamp Thing,Alan Moore,1984.0,Horror,adult,176.0,4.32,alan-moore dark ecological family horror nature philosophical plant-elemental sci-fi
Aria,"Amano, Kozue",2002.0,Science Fiction,young_adult,,4.32,adventure comedy drama manga sci-fi slice-of-life young_adult
Gintama,"Sorachi, Hideaki",2003.0,Science Fiction,young_adult,,4.32,action comedy historical historical-japan manga ninja parody samurai sci-fi young_adult
Blue Period,"Yamaguchi, Tsubasa",2017.0,Drama,adult,,4.32,adult art art-school artistic coming-of-age creative-passion drama manga school
Omniscient Reader,sing N song,2022.0,Fantasy,adult,,4.32,action adventure fantasy manga
Tian Guan Cifu (Heaven Official's Blessing),Mo Xiang Tong Xiu,2019.0,Action,adult,,4.32,action adventure drama lgbt manga supernatural
Pluto (Pluto: Urasawa x Tezuka),"Urasawa, Naoki",2003.0,Mystery,adult,,4.32,action adult atom manga mystery remake robot-emotion sci-fi suspense urasawa
Violet Evergarden,"Akatsuki, Kana",2015.0,Fantasy,adult,,4.32,drama fantasy manga
Seishun Buta Yarou Series (Rascal Does Not Dream),"Kamoshida, Hajime",2014.0,Manga,adult,,4.32,drama manga romance supernatural
Transmetropolitan Vol. 1,Warren Ellis,1997.0,Political,adult,144.0,4.32,political sci-fi cyberpunk dark satire journalism spider-jerusalem warren-ellis
Golden Kamuy,"Noda, Satoru",2014.0,Action,adult,,4.32,action adult adventure ainu-culture brutal-combat dark-epic-fantasy gold-hunt hokkaido lone-warrior manga survival warrior-journey
ReLIFE,"Yayoi, Sou",2013.0,Slice of Life,adult,,4.32,comedy drama manga romance slice-of-life
Kono Subarashii Sekai ni Shukufuku wo! (Konosuba: God's Blessing on This Wonderful World!),"Mishima, Kurone",2013.0,Fantasy,adult,,4.31,adventure comedy fantasy isekai manga parallel-world parody reincarnation
Saga Vol. 1,Brian K. Vaughan,2012.0,Science Fiction,adult,160.0,4.31,brian-vaughan diverse family fiona-staples love modern sci-fi war
"""Oshi no Ko"" ([Oshi No Ko])","Akasaka, Aka",2020.0,Drama,adult,,4.31,adult drama fantasy isekai manga reincarnation showbiz supernatural
Palestine,Joe Sacco,1993.0,Historical,adult,288.0,4.3,journalism political historical middle-east conflict war joe-sacco
Suzumiya Haruhi Series,"Tanigawa, Nagaru",2003.0,Science Fiction,adult,,4.3,comedy drama manga sci-fi supernatural
Hi no Tori (1967) (Phoenix),"Tezuka, Osamu",1966.0,Science Fiction,young_adult,,4.3,cosmic drama fantasy historical manga mind psychological romance sci-fi space supernatural young_adult
Banana Fish,"Yoshida, Akimi",1985.0,Action,young_adult,,4.3,action adventure drama friendship love-triangle manga music punk-band tokyo young_adult
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka (Will you marry me again if you are reborn?)","Morinaga, Miku",2017.0,Manga,adult,,4.3,manga
Ao Ashi,"Kobayashi, Yuugo",2015.0,Sports,adult,,4.3,adult manga sports
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari (The House in Fata Morgana),"Hanada, Keika",2014.0,Horror,adult,,4.3,drama horror manga mystery supernatural
Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),"Mikami, Saka",2021.0,Romance,adult,,4.3,drama manga romance
Tongari Boushi no Atelier (Witch Hat Atelier),"Shirahama, Kamome",2016.0,Manga,adult,,4.3,adult manga
Monogatari Series: Monster Season,"NISIO, ISIN",2017.0,Mystery,adult,,4.3,comedy germany johan-liebert manga mystery psychological-thriller serial-killer supernatural tenma
Planet Hulk,Greg Pak,2006.0,Superhero,adult,384.0,4.3,superhero gladiator alien-planet epic warrior caiera greg-pak
Annihilation,Keith Giffen,2006.0,Superhero,adult,352.0,4.3,superhero cosmic space war epic sacrifice nova annihilation
Locke & Key Vol. 1,Joe Hill,2008.0,Horror,young_adult,160.0,4.3,horror mystery keys magic family dark supernatural joe-hill
Mob Psycho 100,ONE,2012.0,Action,adult,,4.3,action comedy manga supernatural
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch (Umineko WHEN THEY CRY Episode 7: Requiem of the Golden Witch),"Mizuno, Eita",2011.0,Mystery,young_adult,,4.29,drama manga mystery supernatural suspense young_adult
Shigatsu wa Kimi no Uso (Your Lie in April),"Arakawa, Naoshi",2011.0,Manga,young_adult,,4.29,artistic coming-of-age drama emotional first-love manga music piano romance school tragedy young_adult
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),Mo Xiang Tong Xiu,2016.0,Mystery,adult,,4.29,action adventure lgbt manga mystery supernatural
Invincible Vol. 1,Robert Kirkman,2003.0,Superhero,young_adult,136.0,4.29,superhero coming-of-age family dark subversive teen robert-kirkman
Shinseiki Evangelion (Neon Genesis Evangelion),"Sadamoto, Yoshiyuki",1994.0,Mystery,young_adult,,4.29,action adult angel-wars drama manga mecha mecha-pilots mind mystery psychological psychological-trauma robots sci-fi shinji suspense young_adult
Skip to Loafer (Skip and Loafer),"Takamatsu, Misaki",2018.0,Drama,adult,,4.29,adult drama manga
Jibaku Shounen Hanako-kun (Toilet-Bound Hanako-kun),"Aida, Iro",2014.0,Manga,young_adult,,4.29,manga young_adult
Wind Breaker,"Jo, Yongseok",2013.0,Sports,adult,,4.29,action drama manga sports
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai (JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable),"Araki, Hirohiko",1992.0,Action,young_adult,,4.29,action manga supernatural young_adult
Pandora Hearts,"Mochizuki, Jun",2006.0,Mystery,young_adult,,4.29,adventure fantasy manga mystery supernatural young_adult
Chihayafuru,"Suetsugu, Yuki",2007.0,Drama,adult,,4.29,adult drama gaming manga romance strategy
Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),"Tanaka, Yoshiki",1982.0,Science Fiction,adult,,4.29,action adult-cast adventure cosmic drama manga military sci-fi space war
Asterix Vol. 1,René Goscinny,1959.0,Comedy,children,48.0,4.28,comedy historical satire children gauls roman adventure rene-goscinny
Marvels,Kurt Busiek,1994.0,Superhero,adult,240.0,4.28,superhero golden-age historical perspective ordinary-man painted kurt-busiek alex-ross
One Outs,"Kaitani, Shinobu",1998.0,Manga,adult,,4.28,adult adult-cast manga mind psychological sports teamwork
The Dark Knight Returns,Frank Miller,1986.0,Superhero,adult,224.0,4.28,superhero dark political future aged batman corrupt frank-miller
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? (WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?),"Kareno, Akira",2014.0,Science Fiction,adult,,4.28,drama fantasy manga romance sci-fi
Tobaku Datenroku Kaiji: One Poker-hen,"Fukumoto, Nobuyuki",2013.0,Manga,adult,,4.28,adult adult-cast gaming high-stakes-game manga mind psychological strategy
Skip Beat!,"Nakamura, Yoshiki",2002.0,Manga,young_adult,,4.28,comedy drama manga romance showbiz young_adult
Spy x Family,"Endou, Tatsuya",2019.0,Comedy,young_adult,,4.28,action comedy fake-family manga spy-family wholesome young_adult
Souyaku Toaru Majutsu no Index,"Kamachi, Kazuma",2020.0,Science Fiction,adult,,4.28,action comedy fantasy manga sci-fi supernatural
Diamond no Ace Act II (Ace of the Diamond Act II),"Terajima, Yuuji",2015.0,Manga,young_adult,,4.28,coming-of-age manga school sports teamwork young_adult
Rurouni Kenshin: Meiji Kenkaku Romantan (Rurouni Kenshin: Meiji Swordsman Romantic Story),"Watsuki, Nobuhiro",1994.0,Drama,young_adult,,4.28,action drama historical historical-japan manga ninja samurai young_adult
Infinity Gauntlet,Jim Starlin,1991.0,Superhero,adult,256.0,4.28,superhero cosmic thanos infinity-gauntlet death snap soul-world jim-starlin
Otoyomegatari (A Bride's Story),"Mori, Kaoru",2008.0,Romance,adult,,4.28,adult manga romance
Kidou Senshi Gundam: The Origin (Mobile Suit Gundam: The Origin),"Yasuhiko, Yoshikazu",2001.0,Science Fiction,young_adult,,4.28,action cosmic drama manga mecha military robots sci-fi space war young_adult
Shingeki no Kyojin (Attack on Titan),"Isayama, Hajime",2009.0,Horror,young_adult,,4.28,action brutal dark drama eren-yeager gore horror manga military military-combat mystery-driven post-apocalyptic survival titans walls war young_adult
Corto Maltese: Ballad of the Salt Sea,Hugo Pratt,1967.0,Adventure,adult,320.0,4.27,adventure historical sea romantic exotic war hugo-pratt
Blankets,Craig Thompson,2003.0,Memoir,adult,592.0,4.27,memoir coming-of-age faith first-love family religion winter craig-thompson
Y: The Last Man Vol. 1,Brian K. Vaughan,2002.0,Science Fiction,adult,128.0,4.27,sci-fi post-apocalyptic political last-man survival dark brian-vaughan
Kamisama Hajimemashita (Kamisama Kiss),"Suzuki, Julietta",2008.0,Fantasy,young_adult,,4.27,comedy fantasy manga romance supernatural young_adult
My Favorite Thing Is Monsters,Emil Ferris,2017.0,Mystery,adult,428.0,4.26,mystery horror dark identity chicago coming-of-age beautiful art
V for Vendetta,Alan Moore,1988.0,Political,adult,296.0,4.26,political dystopia dark anarchist rebellion evey guy-fawkes v-vendetta alan-moore
Kusuriya no Hitorigoto (The Apothecary Diaries),"Hyuuga, Natsu",2017.0,Mystery,adult,,4.26,adult drama historical manga medical mystery
Baccano!,"Narita, Ryohgo",2003.0,Mystery,adult,,4.26,action fantasy manga mystery
Fruits Basket,"Takaya, Natsuki",1998.0,Manga,young_adult,,4.26,coming-of-age drama family-drama healing manga romance school supernatural trauma young_adult zodiac-curse
Hirayasumi,"Shinzou, Keigo",2021.0,Manga,adult,,4.26,adult manga
Monogatari Series: Off Season,"NISIO, ISIN",2015.0,Mystery,adult,,4.26,comedy drama manga mystery supernatural
Steins;Gate,"Sakai, Kyuuta",2011.0,Mystery,adult,,4.26,manga sci-fi suspense
Bungou Stray Dogs (Bungo Stray Dogs),"Asagiri, Kafka",2012.0,Mystery,adult,,4.26,action adult manga mystery supernatural
Umineko no Naku Koro ni,Ryukishi07,2009.0,Horror,adult,,4.26,fantasy horror manga mystery supernatural suspense
Katanagatari (Katanagatari: Sword Tale),"NISIO, ISIN",2007.0,Action,adult,,4.26,action adventure comedy manga romance
Kakukaku Shikajika (Blank Canvas: My So-Called Artist's Journey),"Higashimura, Akiko",2011.0,Slice of Life,adult,,4.26,adult art artistic comedy culture manga memoir slice-of-life
The Fable,"Minami, Katsuhisa",2014.0,Comedy,adult,,4.26,adult comedy manga
Watashitachi no Shiawase na Jikan,"Yumeka, Sumomo",2008.0,Romance,adult,,4.26,adult artistic drama manga mind music psychological romance
Sakamichi no Apollon,"Kodama, Yuki",2007.0,Manga,adult,,4.26,adult artistic coming-of-age drama manga music romance school
Sasaki to Miyano (Sasaki and Miyano),"Harusono, Shou",2016.0,Manga,adult,,4.26,comedy coming-of-age culture manga school
Kara no Kyoukai: The Garden of Sinners,Type-Moon,1998.0,Horror,adult,,4.26,coming-of-age divine fantasy horror manga mind mystery mythology psychological school supernatural
Tokyo Ghoul,"Ishida, Sui",2011.0,Horror,adult,,4.26,action adult brutal dark fantasy gore horror manga mind psychological
Jujutsu Kaisen,"Akutami, Gege",2018.0,Action,young_adult,,4.26,action cursed-energy gojo-satoru jujutsu manga school sorcerer supernatural young_adult
Blue Lock,"Kaneshiro, Muneyuki",2018.0,Sports,young_adult,,4.26,manga sports young_adult
Given,"Kizu, Natsuki",2013.0,Drama,adult,,4.26,artistic coming-of-age drama lgbt manga music school
Tensei shitara Slime Datta Ken (That Time I Got Reincarnated as a Slime),Mitz Vah,2014.0,Manga,adult,,4.25,fantasy isekai manga parallel-world reincarnation
Ouran Koukou Host Club (Ouran High School Host Club),"Hatori, Bisco",2002.0,Manga,young_adult,,4.25,comedy coming-of-age drama gender manga romance school young_adult
Shimanami Tasogare (Our Dreams at Dusk: Shimanami Tasogare),"Kamatani, Yuhki",2015.0,Slice of Life,adult,,4.25,adult drama manga slice-of-life
Vanitas no Karte (The Case Study of Vanitas),"Mochizuki, Jun",2015.0,Historical,young_adult,,4.25,fantasy historical manga supernatural vampire young_adult
Chikan Otoko,"Yokota, Takuma",2004.0,Slice of Life,adult,,4.25,comedy drama manga romance slice-of-life
JoJo no Kimyou na Bouken Part 9: The JoJoLands (JoJo's Bizarre Adventure Part 9: The JoJoLands),"Araki, Hirohiko",2023.0,Action,adult,,4.25,action adult adventure manga supernatural
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken (The Angel Next Door Spoils Me Rotten),"Kazutake, Hazano",2019.0,Romance,adult,,4.25,comedy manga romance
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite (Bloom into You: Regarding Saeki Sayaka),"Iruma, Hitoma",2018.0,Drama,adult,,4.25,drama lgbt manga
Medalist,Tsurumaikada,2020.0,Sports,adult,,4.25,adult drama manga sports
19 Tian,Old Xian,2018.0,Comedy,adult,,4.25,comedy lgbt manga
Berserk: Shinen no Kami 2,"Miura, Kentarou",1996.0,Fantasy,adult,,4.25,action adult dark-fantasy manga mythology supernatural berserk-spinoff
Spirit Circle,"Mizukami, Satoshi",2012.0,Action,adult,,4.25,action adult adventure comedy drama manga romance supernatural
Ping Pong,"Matsumoto, Taiyou",1996.0,Sports,adult,,4.25,adult drama manga sports
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch (Umineko WHEN THEY CRY Episode 5: End of the Golden Witch),Ryukishi07,2010.0,Horror,young_adult,,4.25,drama fantasy horror manga mystery supernatural suspense young_adult
Lumberjanes Vol. 1,Noelle Stevenson,2015.0,Fantasy,young_adult,128.0,4.25,adventure friendship girls camp magic fun diverse young-adult
Fate/Zero,"Takeuchi, Takashi",2006.0,Fantasy,adult,,4.25,action fantasy manga supernatural
Nimona,Noelle Stevenson,2015.0,Fantasy,young_adult,272.0,4.25,fantasy comedy identity villain sidekick shapeshifter adventure young-adult noelle-stevenson
Bakemonogatari,Oh! Great,2018.0,Mystery,young_adult,,4.25,action comedy drama manga mystery romance supernatural young_adult
Dungeon Meshi (Delicious in Dungeon),"Kui, Ryoko",2014.0,Fantasy,adult,,4.24,adult comedy cooking-fantasy dungeon-food fantasy food manga slice-of-life wholesome-dark
JoJo no Kimyou na Bouken Part 8: JoJolion,"Araki, Hirohiko",2011.0,Mystery,adult,,4.24,action adult adventure manga mystery supernatural
Hinamatsuri,"Ohtake, Masao",2010.0,Comedy,adult,,4.24,adult comedy crime dark family manga slice-of-life supernatural
Glass no Kamen,"Miuchi, Suzue",1976.0,Romance,young_adult,,4.24,art drama manga romance showbiz young_adult
Kyou kara Ore wa!!,"Nishimori, Hiroyuki",1988.0,Comedy,young_adult,,4.24,action comedy coming-of-age crime dark manga school young_adult youth
Bastard,"Kim, Carnby",2014.0,Horror,adult,,4.24,brutal dark drama gore horror manga mind mystery psychological romance
blanc (Classmates: blanc),"Nakamura, Asumiko",2018.0,Slice of Life,adult,,4.24,drama lgbt manga slice-of-life
"Ohayou, Ibarahime (Wake Up, Sleeping Beauty)","Morino, Megumi",2014.0,Romance,young_adult,,4.24,manga romance supernatural young_adult
Eyeshield 21,"Inagaki, Riichiro",2002.0,Manga,young_adult,,4.24,manga young_adult
Kami nomi zo Shiru Sekai,"Wakaki, Tamiki",2008.0,Fantasy,young_adult,,4.24,comedy coming-of-age culture fantasy manga romance school supernatural young_adult
Billy Bat,"Urasawa, Naoki",2008.0,Mystery,adult,,4.24,adult detective drama historical manga mind mystery psychological supernatural
