title,author,year,genre,audience,pages,goodreads_rating,tags
Castlevania: Curse of Darkness,"Yamada, Sakurako",2005.0,Horror,adult,,3.73,action divine fantasy horror manga mythology vampire
"""Bungaku Shoujo"" to Shi ni Tagari no Pierrot","Nomura, Mizuki",2008.0,Mystery,adult,,3.73,drama manga mystery romance
He Loves You,"Aida, Natsumi",2010.0,Romance,young_adult,,3.73,comedy manga romance young_adult
Kuchibiru ni Kimi no Iro (Your Color on Lip),"Iwashita, Keiko",2014.0,Manga,young_adult,,3.73,manga young_adult
Swimming Lessons for a Mermaid,Yongchan,2019.0,Romance,adult,,3.73,manga romance supernatural
Hoshizora wo Mitsumeta Sono Ato de (After We Gazed at the Starry Sky),"Kida, Bisco",2021.0,Manga,adult,,3.73,manga
Mad Dog,Haribo,2021.0,Drama,adult,,3.73,drama lgbt manga
The World After the Fall,sing N song,2022.0,Fantasy,adult,,3.73,action fantasy manga
Furitsumore Kodoku na Shi yo,"Inoryuu, Hajime",2021.0,Mystery,adult,,3.73,manga mystery suspense
Prime Rose,"Tezuka, Osamu",1982.0,Manga,young_adult,,3.73,manga young_adult
Six Half,"Iketani, Rikako",2009.0,Romance,young_adult,,3.73,drama manga romance young_adult
Zai x 10,"Yamauchi, Yasunobu",2013.0,Manga,adult,,3.73,manga
Hatarakanai Futari,"Yoshida, Satoru",2013.0,Slice of Life,adult,,3.73,comedy manga slice-of-life
Kidou Senshi Gundam 0083: Rebellion,"Yatate, Hajime",2013.0,Science Fiction,adult,,3.73,action adult manga mecha military robots sci-fi war
Okobore Hime to Entaku no Kishi,"Akatsuki, Kaori",2013.0,Romance,young_adult,,3.73,fantasy manga romance young_adult
Ojojojo,Cool-kyou Shinja,2012.0,Slice of Life,adult,,3.73,comedy manga romance slice-of-life
Ousama ni Sasagu Kusuriyubi (The Third Finger offered to a King),"Watanabe, Shiho",2014.0,Romance,adult,,3.73,adult comedy manga romance
Tonari no Oneesan ga Suki (I Love The Older Girl Next Door.),"Fujichika, Koume",2021.0,Romance,adult,,3.73,comedy manga romance
Dinosan (Dinosaur Sanctuary),"Kinoshita, Itaru",2021.0,Science Fiction,adult,,3.73,adult comedy manga sci-fi slice-of-life
UQ Holder!,"Akamatsu, Ken",2013.0,Science Fiction,young_adult,,3.73,action fantasy manga sci-fi young_adult
Psycome,Namanie,2013.0,Manga,adult,,3.73,comedy coming-of-age ecchi manga mind psychological romance school
Koi no Kamisama,"Komi, Naoshi",2007.0,Science Fiction,young_adult,,3.73,action adventure comedy fantasy manga romance sci-fi slice-of-life young_adult
Bread & Butter,"Ashihara, Hinako",2013.0,Manga,adult,,3.73,adult manga
"Totsuzen desu ga, Ashita Kekkon Shimasu (Everyone's Getting Married)","Miyazono, Izumi",2014.0,Slice of Life,adult,,3.73,adult drama manga romance slice-of-life
Yuugure Light,"Usami, Maki",2014.0,Manga,young_adult,,3.73,manga young_adult
