mal_id,title,title_english,title_japanese,type,chapters,volumes,status,publishing,published_from,published_to,score,scored_by,rank,popularity,members,favorites,authors,serializations,genres,themes,demographics,synopsis,image_url
58027,Tsuredure Children,Tsuredure Children,徒然チルドレン,Manga,212.0,12.0,Finished,False,2014-08-09,2018-07-11,8.22,24759,498.0,297,63078,1859,"Wakabayashi, Toshiya",Shounen Magazine (Weekly),Comedy|Romance,School,Shounen,"Love is not simple. It is complicated, frustrating, often incomprehensible—and it is something that many high school students are all too familiar with. Love takes on countless forms, but it is an emotion common to different kinds of people: childhood friends, tsunderes, classmates, delinquents, and student council presidents. Love can also flourish between unlikely pairs who bury their feelings deep within them, making it harder and harder to say that one notorious phrase in the human language... ""I love you.""

Tsurezure Children follows the journeys of numerous different couples and their romantic escapades. From the butterflies of a confession to the failed attempts at a first kiss, this story sheds light on the challenges and triumphs of young love.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/1/155605.jpg
45855,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,,問題児たちが異世界から来るそうですよ？,Light Novel,125.0,12.0,Finished,False,2011-04-01,2015-04-01,8.22,3419,498.0,1476,16122,368,"Tatsunoko, Tarou|Amano, Yuu",,Action|Comedy|Fantasy,Isekai|Mythology,,"Izayoi Sakamaki, Asuka Kudou, and You Kasukabe have tremendous psychic powers and are bored with the regular world. An envelope arrives for each person, and when each opens their envelope, they are stunned to see the scenery around them change to a world they had never encountered before. They've been summoned by the Black Rabbit to help the community ""No Name"" to overthrow the Devil King.

(Source: Crunchyroll)",https://myanimelist.net/images/manga/2/81003.jpg
58563,Innocent,Innocent,イノサン,Manga,99.0,9.0,Finished,False,2013-01-31,2015-04-16,8.22,19796,499.0,250,71981,2352,"Sakamoto, Shinichi",Young Jump,Drama,Historical,Seinen,"In the 18th century, seeking ""freedom and equality,"" the event that became the starting point of modern French society, the French Revolution, began. There was one more protagonist that lived within the darkness, Charles-Henri Sanson. He was the fourth generation family head of the Sanson family, and the executioner of Paris. This is the story of him nobly facing his harsh fate...",https://myanimelist.net/images/manga/1/275351.jpg
70801,Dead Dead Demons Dededede Destruction,Dead Dead Demons Dededede Destruction,デッドデッドデーモンズデデデデデストラクション,Manga,101.0,12.0,Finished,False,2014-04-28,2022-02-28,8.22,18628,502.0,204,87175,2679,"Asano, Inio",Big Comic Spirits,Award Winning|Drama|Sci-Fi,School,Seinen,"When you look up at the sky, what do you see? A blue sky? Freedom? A hopeful future? The people of Tokyo see none of these. Instead, an ominous alien mothership looms overhead, engulfing the city skyscape.

Three years ago, they came. The arrival of the ""Invaders"" sparked the greatest war humanity had ever faced—one that threatened to end the world. The Japanese government scrambled to fight the Invaders. Weapons were mass-produced, sparking controversy and pacifist movements.

That day, everything changed. And yet, nothing has changed. Kadode Koyama and Ouran Nakagawa live their final days like they always have: going to school, playing with friends, and doing what any carefree high school girl would do.

As they grow up, they come to learn what it truly means to be an adult in a world where adults seem to be demons who only deceive and destroy. They come to learn the real threat to humanity is not the Invaders, but humanity itself.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/3/142079.jpg
688,Maison Ikkoku,Maison Ikkoku,めぞん一刻,Manga,162.0,15.0,Finished,False,1980-10-14,1987-04-06,8.21,6812,503.0,1055,21166,831,"Takahashi, Rumiko",Big Comic Spirits,Comedy|Drama|Romance,Adult Cast,Seinen,"In the town of Tokeizaka stands the old, worn-down boarding house known as Maison Ikkoku. For the last few years, the building has been home to a rambunctious group of tenants, including 20-year-old college applicant Yusaku Godai, its most recent resident. Recently, however, Yusaku has grown impatient with the noisy shenanigans interrupting his studies and has decided to move out. However, as he is preparing to leave, a beautiful woman named Kyoko Otonashi introduces herself as the new property manager. Falling in love with her at first sight, Yusaku changes his mind and decides to stay to court Kyoko instead.

Though he initially believes he is making progress with Kyoko, Yusaku soon discovers that she is a widow still mourning the loss of her late husband. Despite her growing feelings for Yusaku, Kyoko states that she has no intentions to remarry or even date, as she still loves her late husband. Empathizing with her, Yusaku seeks to free Kyoko from her sadness with the help of the o",https://myanimelist.net/images/manga/1/71227.jpg
792,City Hunter,City Hunter,シティーハンター,Manga,193.0,35.0,Finished,False,1985-02-26,1991-11-19,8.21,5118,505.0,1208,18946,502,"Hojo, Tsukasa",Shounen Jump (Weekly),Adventure|Comedy,Detective,Shounen,"Ryo Saeba is a ""sweeper"" in the city of Tokyo. His works as a trouble shooter, cleaning the streets of vermin, and helping out desperate people. Sometimes he's a bodyguard, sometimes he's an assassin, whatever Ryo does he does it well. In fact his only flaw is his hormones - he loves the ladies and sometimes turns into an idiot when he's near them. Thankfully he's got people like his partner Kaori Makimura to keep him in check.

(Source: ANN)",https://myanimelist.net/images/manga/5/272237.jpg
1695,Message to Adolf,Message to Adolf,アドルフに告ぐ,Manga,36.0,4.0,Finished,False,1982-12-22,1985-05-16,8.21,7382,506.0,799,27263,548,"Tezuka, Osamu",Shuukan Bunshun,Award Winning|Drama,Historical|Military,,"This is a story about three Adolfs. Sohei Toge, a Japanese reporter for 1936 Berlin Olympics was surprised that his younger brother, an international student in Germany, was mysteriously murdered right after informing him about an important document. To add more confusion to his sadness, all information regarding his younger brother as a student in Germany have been erased systematically, as if he never existed. Meanwhile in Japan, a half-German, half-Japanese boy named Adolf Kauffmann and his best friend, a Jewish-German boy named Adolf Kamil, were accidentally involved in this incident. Their lives and fates are now inevitably interwoven around the biggest secret of the third Adolf—Adolf Hitler.

(Source: ANN)",https://myanimelist.net/images/manga/2/258872.jpg
770,Battle Angel Alita: Last Order,Battle Angel Alita: Last Order,銃夢 Last Order,Manga,124.0,19.0,Finished,False,2001-07-19,2014-01-28,8.21,9863,507.0,784,27622,851,"Kishiro, Yukito",Ultra Jump,Action|Drama|Sci-Fi,Martial Arts,Seinen,"After being killed in an explosion set by Desty Nova, Gally is brought back to life in the city of Tiphares by the resourceful yet devious scientist. She learns that the floating city is caught in a chaotic civil war over the public revelation of brain biochips, the Tipharean substitution to the organic human brain. To have any chance at stopping the bloodshed, Gally joins Nova’s newly-formed entourage, which includes his assistants Elf and Zwölf, the battle android Sechs, and the repair robot Deckman 100.

Tiphares and its conflict is just one small piece to an unknown star system that Gally has yet to discover. In hopes of finding more answers to her forgotten past, she and the other group members venture into the vastness of space, beginning an adventure that is set to alter the course of humanity.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/3/274912.jpg
3097,Twin Spica,Twin Spica,ふたつのスピカ,Manga,97.0,16.0,Finished,False,2001-09-05,2009-08-05,8.21,1728,508.0,3337,7656,179,"Yaginuma, Kou",Comic Flapper,Drama|Fantasy|Sci-Fi|Slice of Life|Supernatural,,Seinen,"Asumi Kamogawa is a small, 14-year-old girl with a burning passion for the cosmos, especially the stars. Since her early childhood, she has been learning about space from a man she calls ""Lion-san,"" a wise and friendly ghost wearing a giant lion head. Despite a rough family dynamic, Asumi decides to enroll in the Tokyo Space School.

Asumi soon makes a group of friends at school: Shinnosuke Fuchuuya, Asumi's childhood friend with glasses and somewhat brutal honesty; Kei Oumi, a very friendly girl who was inspired by Neil Armstrong's pictures of the first lunar landing; Marika Ukita, an unsociable yet beautiful girl with some secrets of her own; and Shuu Suzuki, a bold yet intelligent boy with a very laidback outlook.

Set in an alternate future where Japan's first man-made rocket crashed in 2010, Futatsu no Spica is a coming-of-age story revolving around these young high schoolers and their path toward the stars.

[Written by MAL Rewrite]",https://myanimelist.net/images/manga/2/176749.jpg
16593,Private Opinion: Banana Fish Another Story,,PRIVATE OPINION―BANANA FISH ANOTHER STORY,Manga,2.0,1.0,Finished,False,1995-12-13,,8.21,1530,510.0,4954,5092,60,"Yoshida, Akimi",Betsucomi,Action|Drama,,Shoujo,"1. Private Garden
2. Fly Boy, In the Sky",https://myanimelist.net/images/manga/2/202641.jpg
